Country,Total_re_export,Year,ReExport
Austria,869220000,1990,24900000
Belgium,4779780000,1990,0
Belgium/Luxembourg,742860000,1990,53460000
Bulgaria,205620000,1990,9960000
Croatia,57900000,1990,0
Cyprus,7980000,1990,960000
Czechia,674640000,1990,0
Denmark,289800000,1990,5640000
Estonia,93240000,1990,0
Finland,284400000,1990,1140000
France,2063880000,1990,54780000
Germany,14558880000,1990,197520000
Greece,187260000,1990,660000
Hungary,436740000,1990,0
Ireland,61080000,1990,600000
Italy,3678600000,1990,22980000
Latvia,79380000,1990,0
Lithuania,184500000,1990,0
Luxembourg,152580000,1990,0
Malta,1140000,1990,60000
Netherlands,2527200000,1990,35100000
Poland,1525740000,1990,6000000
Portugal,256740000,1990,1860000
Romania,40020000,1990,0
Slovakia,373020000,1990,0
Slovenia,94440000,1990,0
Spain,2277480000,1990,15900000
Sweden,652260000,1990,4620000
Japan,134760000,1990,1200000
Norway,16260000,1990,480000
Russian Federation,609840000,1990,0
Switzerland,1485780000,1990,9960000
Tunisia,3660000,1990,0
United Kingdom,1734120000,1990,28920000
United States of America,4526640000,1990,49500000
Austria,869220000,1991,45360000
Belgium,4779780000,1991,0
Belgium/Luxembourg,742860000,1991,62280000
Bulgaria,205620000,1991,10980000
Croatia,57900000,1991,0
Cyprus,7980000,1991,420000
Czechia,674640000,1991,0
Denmark,289800000,1991,4440000
Estonia,93240000,1991,0
Finland,284400000,1991,1260000
France,2063880000,1991,60420000
Germany,14558880000,1991,195120000
Greece,187260000,1991,1200000
Hungary,436740000,1991,15660000
Ireland,61080000,1991,300000
Italy,3678600000,1991,24120000
Latvia,79380000,1991,0
Lithuania,184500000,1991,0
Luxembourg,152580000,1991,0
Malta,1140000,1991,180000
Netherlands,2527200000,1991,37980000
Poland,1525740000,1991,420000
Portugal,256740000,1991,2040000
Romania,40020000,1991,0
Slovakia,373020000,1991,0
Slovenia,94440000,1991,0
Spain,2277480000,1991,16080000
Sweden,652260000,1991,6840000
Japan,134760000,1991,2040000
Norway,16260000,1991,240000
Russian Federation,609840000,1991,0
Switzerland,1485780000,1991,9060000
Tunisia,3660000,1991,0
United Kingdom,1734120000,1991,29100000
United States of America,4526640000,1991,60600000
Austria,869220000,1992,57600000
Belgium,4779780000,1992,0
Belgium/Luxembourg,742860000,1992,67860000
Bulgaria,205620000,1992,420000
Croatia,57900000,1992,2040000
Cyprus,7980000,1992,240000
Czechia,674640000,1992,180000
Denmark,289800000,1992,6180000
Estonia,93240000,1992,180000
Finland,284400000,1992,2100000
France,2063880000,1992,61380000
Germany,14558880000,1992,199080000
Greece,187260000,1992,1740000
Hungary,436740000,1992,10440000
Ireland,61080000,1992,240000
Italy,3678600000,1992,27900000
Latvia,79380000,1992,60000
Lithuania,184500000,1992,0
Luxembourg,152580000,1992,0
Malta,1140000,1992,120000
Netherlands,2527200000,1992,38880000
Poland,1525740000,1992,8220000
Portugal,256740000,1992,2400000
Romania,40020000,1992,180000
Slovakia,373020000,1992,0
Slovenia,94440000,1992,420000
Spain,2277480000,1992,17220000
Sweden,652260000,1992,8280000
Japan,134760000,1992,1620000
Norway,16260000,1992,180000
Russian Federation,609840000,1992,300000
Switzerland,1485780000,1992,9300000
Tunisia,3660000,1992,0
United Kingdom,1734120000,1992,34200000
United States of America,4526640000,1992,82620000
Austria,869220000,1993,32100000
Belgium,4779780000,1993,0
Belgium/Luxembourg,742860000,1993,76440000
Bulgaria,205620000,1993,4200000
Croatia,57900000,1993,1860000
Cyprus,7980000,1993,120000
Czechia,674640000,1993,3960000
Denmark,289800000,1993,6180000
Estonia,93240000,1993,420000
Finland,284400000,1993,11880000
France,2063880000,1993,58560000
Germany,14558880000,1993,196920000
Greece,187260000,1993,13620000
Hungary,436740000,1993,6660000
Ireland,61080000,1993,180000
Italy,3678600000,1993,39840000
Latvia,79380000,1993,1080000
Lithuania,184500000,1993,0
Luxembourg,152580000,1993,0
Malta,1140000,1993,60000
Netherlands,2527200000,1993,25500000
Poland,1525740000,1993,7560000
Portugal,256740000,1993,2280000
Romania,40020000,1993,360000
Slovakia,373020000,1993,780000
Slovenia,94440000,1993,300000
Spain,2277480000,1993,10080000
Sweden,652260000,1993,8280000
Japan,134760000,1993,2040000
Norway,16260000,1993,180000
Russian Federation,609840000,1993,0
Switzerland,1485780000,1993,9960000
Tunisia,3660000,1993,0
United Kingdom,1734120000,1993,37740000
United States of America,4526640000,1993,103200000
Austria,869220000,1994,22860000
Belgium,4779780000,1994,0
Belgium/Luxembourg,742860000,1994,78240000
Bulgaria,205620000,1994,6600000
Croatia,57900000,1994,1800000
Cyprus,7980000,1994,60000
Czechia,674640000,1994,2700000
Denmark,289800000,1994,7500000
Estonia,93240000,1994,1200000
Finland,284400000,1994,13020000
France,2063880000,1994,69900000
Germany,14558880000,1994,208140000
Greece,187260000,1994,8760000
Hungary,436740000,1994,2820000
Ireland,61080000,1994,180000
Italy,3678600000,1994,47160000
Latvia,79380000,1994,1020000
Lithuania,184500000,1994,600000
Luxembourg,152580000,1994,0
Malta,1140000,1994,120000
Netherlands,2527200000,1994,40680000
Poland,1525740000,1994,6000000
Portugal,256740000,1994,3120000
Romania,40020000,1994,0
Slovakia,373020000,1994,1380000
Slovenia,94440000,1994,420000
Spain,2277480000,1994,14220000
Sweden,652260000,1994,13440000
Japan,134760000,1994,1620000
Norway,16260000,1994,360000
Russian Federation,609840000,1994,840000
Switzerland,1485780000,1994,11760000
Tunisia,3660000,1994,0
United Kingdom,1734120000,1994,49020000
United States of America,4526640000,1994,154320000
Austria,869220000,1995,13740000
Belgium,4779780000,1995,0
Belgium/Luxembourg,742860000,1995,79680000
Bulgaria,205620000,1995,7320000
Croatia,57900000,1995,1920000
Cyprus,7980000,1995,60000
Czechia,674640000,1995,2520000
Denmark,289800000,1995,7140000
Estonia,93240000,1995,1500000
Finland,284400000,1995,5820000
France,2063880000,1995,64860000
Germany,14558880000,1995,193200000
Greece,187260000,1995,8340000
Hungary,436740000,1995,4320000
Ireland,61080000,1995,480000
Italy,3678600000,1995,44940000
Latvia,79380000,1995,900000
Lithuania,184500000,1995,2700000
Luxembourg,152580000,1995,0
Malta,1140000,1995,60000
Netherlands,2527200000,1995,37020000
Poland,1525740000,1995,8040000
Portugal,256740000,1995,4440000
Romania,40020000,1995,120000
Slovakia,373020000,1995,1620000
Slovenia,94440000,1995,480000
Spain,2277480000,1995,23820000
Sweden,652260000,1995,13020000
Japan,134760000,1995,420000
Norway,16260000,1995,300000
Russian Federation,609840000,1995,4680000
Switzerland,1485780000,1995,10500000
Tunisia,3660000,1995,0
United Kingdom,1734120000,1995,37980000
United States of America,4526640000,1995,110460000
Austria,869220000,1996,9780000
Belgium,4779780000,1996,0
Belgium/Luxembourg,742860000,1996,89220000
Bulgaria,205620000,1996,1560000
Croatia,57900000,1996,1020000
Cyprus,7980000,1996,60000
Czechia,674640000,1996,3000000
Denmark,289800000,1996,6660000
Estonia,93240000,1996,1980000
Finland,284400000,1996,10320000
France,2063880000,1996,70920000
Germany,14558880000,1996,216780000
Greece,187260000,1996,3060000
Hungary,436740000,1996,1920000
Ireland,61080000,1996,660000
Italy,3678600000,1996,49560000
Latvia,79380000,1996,960000
Lithuania,184500000,1996,4980000
Luxembourg,152580000,1996,0
Malta,1140000,1996,0
Netherlands,2527200000,1996,34500000
Poland,1525740000,1996,10140000
Portugal,256740000,1996,5940000
Romania,40020000,1996,0
Slovakia,373020000,1996,960000
Slovenia,94440000,1996,660000
Spain,2277480000,1996,35700000
Sweden,652260000,1996,13500000
Japan,134760000,1996,360000
Norway,16260000,1996,420000
Russian Federation,609840000,1996,3900000
Switzerland,1485780000,1996,14580000
Tunisia,3660000,1996,0
United Kingdom,1734120000,1996,33120000
United States of America,4526640000,1996,122940000
Austria,869220000,1997,13320000
Belgium,4779780000,1997,0
Belgium/Luxembourg,742860000,1997,99480000
Bulgaria,205620000,1997,1140000
Croatia,57900000,1997,1440000
Cyprus,7980000,1997,60000
Czechia,674640000,1997,4560000
Denmark,289800000,1997,8460000
Estonia,93240000,1997,2520000
Finland,284400000,1997,12300000
France,2063880000,1997,69960000
Germany,14558880000,1997,236100000
Greece,187260000,1997,3000000
Hungary,436740000,1997,4380000
Ireland,61080000,1997,540000
Italy,3678600000,1997,49560000
Latvia,79380000,1997,1440000
Lithuania,184500000,1997,4740000
Luxembourg,152580000,1997,0
Malta,1140000,1997,60000
Netherlands,2527200000,1997,33420000
Poland,1525740000,1997,17220000
Portugal,256740000,1997,6480000
Romania,40020000,1997,60000
Slovakia,373020000,1997,1080000
Slovenia,94440000,1997,600000
Spain,2277480000,1997,46740000
Sweden,652260000,1997,13920000
Japan,134760000,1997,1140000
Norway,16260000,1997,540000
Russian Federation,609840000,1997,19680000
Switzerland,1485780000,1997,16800000
Tunisia,3660000,1997,0
United Kingdom,1734120000,1997,30660000
United States of America,4526640000,1997,146760000
Austria,869220000,1998,12600000
Belgium,4779780000,1998,0
Belgium/Luxembourg,742860000,1998,136200000
Bulgaria,205620000,1998,1080000
Croatia,57900000,1998,1140000
Cyprus,7980000,1998,60000
Czechia,674640000,1998,14460000
Denmark,289800000,1998,9600000
Estonia,93240000,1998,2700000
Finland,284400000,1998,11160000
France,2063880000,1998,71580000
Germany,14558880000,1998,243780000
Greece,187260000,1998,2220000
Hungary,436740000,1998,3780000
Ireland,61080000,1998,600000
Italy,3678600000,1998,56760000
Latvia,79380000,1998,1500000
Lithuania,184500000,1998,3000000
Luxembourg,152580000,1998,0
Malta,1140000,1998,240000
Netherlands,2527200000,1998,54060000
Poland,1525740000,1998,19680000
Portugal,256740000,1998,5760000
Romania,40020000,1998,660000
Slovakia,373020000,1998,1020000
Slovenia,94440000,1998,720000
Spain,2277480000,1998,42000000
Sweden,652260000,1998,11520000
Japan,134760000,1998,540000
Norway,16260000,1998,240000
Russian Federation,609840000,1998,5100000
Switzerland,1485780000,1998,15240000
Tunisia,3660000,1998,0
United Kingdom,1734120000,1998,32220000
United States of America,4526640000,1998,146820000
Austria,869220000,1999,23880000
Belgium,4779780000,1999,130140000
Belgium/Luxembourg,742860000,1999,0
Bulgaria,205620000,1999,240000
Croatia,57900000,1999,900000
Cyprus,7980000,1999,120000
Czechia,674640000,1999,10200000
Denmark,289800000,1999,13500000
Estonia,93240000,1999,2160000
Finland,284400000,1999,12900000
France,2063880000,1999,68460000
Germany,14558880000,1999,238320000
Greece,187260000,1999,5520000
Hungary,436740000,1999,6300000
Ireland,61080000,1999,420000
Italy,3678600000,1999,61380000
Latvia,79380000,1999,1020000
Lithuania,184500000,1999,2880000
Luxembourg,152580000,1999,5040000
Malta,1140000,1999,0
Netherlands,2527200000,1999,65640000
Poland,1525740000,1999,25080000
Portugal,256740000,1999,5940000
Romania,40020000,1999,300000
Slovakia,373020000,1999,1200000
Slovenia,94440000,1999,660000
Spain,2277480000,1999,38340000
Sweden,652260000,1999,10560000
Japan,134760000,1999,480000
Norway,16260000,1999,300000
Russian Federation,609840000,1999,960000
Switzerland,1485780000,1999,18120000
Tunisia,3660000,1999,0
United Kingdom,1734120000,1999,38700000
United States of America,4526640000,1999,130080000
Austria,869220000,2000,24540000
Belgium,4779780000,2000,141420000
Belgium/Luxembourg,742860000,2000,0
Bulgaria,205620000,2000,360000
Croatia,57900000,2000,1020000
Cyprus,7980000,2000,60000
Czechia,674640000,2000,14940000
Denmark,289800000,2000,13860000
Estonia,93240000,2000,480000
Finland,284400000,2000,10320000
France,2063880000,2000,64380000
Germany,14558880000,2000,289500000
Greece,187260000,2000,6660000
Hungary,436740000,2000,9420000
Ireland,61080000,2000,4320000
Italy,3678600000,2000,69360000
Latvia,79380000,2000,1140000
Lithuania,184500000,2000,2340000
Luxembourg,152580000,2000,5280000
Malta,1140000,2000,0
Netherlands,2527200000,2000,66360000
Poland,1525740000,2000,31860000
Portugal,256740000,2000,7380000
Romania,40020000,2000,60000
Slovakia,373020000,2000,1380000
Slovenia,94440000,2000,840000
Spain,2277480000,2000,45180000
Sweden,652260000,2000,10260000
Japan,134760000,2000,1920000
Norway,16260000,2000,300000
Russian Federation,609840000,2000,1620000
Switzerland,1485780000,2000,18780000
Tunisia,3660000,2000,60000
United Kingdom,1734120000,2000,39120000
United States of America,4526640000,2000,123300000
Austria,869220000,2001,26400000
Belgium,4779780000,2001,139440000
Belgium/Luxembourg,742860000,2001,0
Bulgaria,205620000,2001,300000
Croatia,57900000,2001,900000
Cyprus,7980000,2001,240000
Czechia,674640000,2001,15960000
Denmark,289800000,2001,14100000
Estonia,93240000,2001,3240000
Finland,284400000,2001,8880000
France,2063880000,2001,76020000
Germany,14558880000,2001,320640000
Greece,187260000,2001,19200000
Hungary,436740000,2001,11160000
Ireland,61080000,2001,2040000
Italy,3678600000,2001,77400000
Latvia,79380000,2001,360000
Lithuania,184500000,2001,3780000
Luxembourg,152580000,2001,4560000
Malta,1140000,2001,0
Netherlands,2527200000,2001,67020000
Poland,1525740000,2001,29820000
Portugal,256740000,2001,6960000
Romania,40020000,2001,60000
Slovakia,373020000,2001,1980000
Slovenia,94440000,2001,660000
Spain,2277480000,2001,74220000
Sweden,652260000,2001,10860000
Japan,134760000,2001,4680000
Norway,16260000,2001,360000
Russian Federation,609840000,2001,1500000
Switzerland,1485780000,2001,22860000
Tunisia,3660000,2001,60000
United Kingdom,1734120000,2001,46260000
United States of America,4526640000,2001,123360000
Austria,869220000,2002,31680000
Belgium,4779780000,2002,138480000
Belgium/Luxembourg,742860000,2002,0
Bulgaria,205620000,2002,180000
Croatia,57900000,2002,960000
Cyprus,7980000,2002,240000
Czechia,674640000,2002,14760000
Denmark,289800000,2002,16260000
Estonia,93240000,2002,540000
Finland,284400000,2002,7140000
France,2063880000,2002,75840000
Germany,14558880000,2002,377280000
Greece,187260000,2002,4260000
Hungary,436740000,2002,11400000
Ireland,61080000,2002,2040000
Italy,3678600000,2002,80460000
Latvia,79380000,2002,1140000
Lithuania,184500000,2002,3300000
Luxembourg,152580000,2002,4800000
Malta,1140000,2002,60000
Netherlands,2527200000,2002,71160000
Poland,1525740000,2002,26520000
Portugal,256740000,2002,6840000
