Country,Year,DomesticType,ProductionType,DomesticConsumption,Production,Export,Import,ImporterConsumption,GreenInventory,ReExport
Angola,1990,Robusta/Arabica,Robusta/Arabica,1200000,3000000,5040000,NULL,NULL,NULL,NULL
Angola,1990,Robusta/Arabica,Robusta/Arabica,1200000,3000000,5040000,NULL,NULL,NULL,NULL
Angola,1990,Robusta/Arabica,Robusta/Arabica,1200000,3000000,5040000,NULL,NULL,NULL,NULL
Angola,1990,Robusta/Arabica,Robusta/Arabica,1200000,3000000,5040000,NULL,NULL,NULL,NULL
Angola,1990,Robusta/Arabica,Robusta/Arabica,1200000,3000000,5040000,NULL,NULL,NULL,NULL
Angola,1990,Robusta/Arabica,Robusta/Arabica,1200000,3000000,5040000,NULL,NULL,NULL,NULL
Angola,1990,Robusta/Arabica,Robusta/Arabica,1200000,3000000,5040000,NULL,NULL,NULL,NULL
Angola,1990,Robusta/Arabica,Robusta/Arabica,1200000,3000000,5040000,NULL,NULL,NULL,NULL
Angola,1990,Robusta/Arabica,Robusta/Arabica,1200000,3000000,5040000,NULL,NULL,NULL,NULL
Angola,1990,Robusta/Arabica,Robusta/Arabica,1200000,3000000,5040000,NULL,NULL,NULL,NULL
Angola,1990,Robusta/Arabica,Robusta/Arabica,1200000,3000000,5040000,NULL,NULL,NULL,NULL
Angola,1990,Robusta/Arabica,Robusta/Arabica,1200000,3000000,5040000,NULL,NULL,NULL,NULL
Angola,1990,Robusta/Arabica,Robusta/Arabica,1200000,3000000,5040000,NULL,NULL,NULL,NULL
Angola,1990,Robusta/Arabica,Robusta/Arabica,1200000,3000000,5040000,NULL,NULL,NULL,NULL
Angola,1990,Robusta/Arabica,Robusta/Arabica,1200000,3000000,5040000,NULL,NULL,NULL,NULL
Angola,1990,Robusta/Arabica,Robusta/Arabica,1200000,3000000,5040000,NULL,NULL,NULL,NULL
Angola,1990,Robusta/Arabica,Robusta/Arabica,1200000,3000000,5040000,NULL,NULL,NULL,NULL
Angola,1990,Robusta/Arabica,Robusta/Arabica,1200000,3000000,5040000,NULL,NULL,NULL,NULL
Angola,1990,Robusta/Arabica,Robusta/Arabica,1200000,3000000,5040000,NULL,NULL,NULL,NULL
Angola,1990,Robusta/Arabica,Robusta/Arabica,1200000,3000000,5040000,NULL,NULL,NULL,NULL
Angola,1990,Robusta/Arabica,Robusta/Arabica,1200000,3000000,5040000,NULL,NULL,NULL,NULL
Angola,1990,Robusta/Arabica,Robusta/Arabica,1200000,3000000,5040000,NULL,NULL,NULL,NULL
Angola,1990,Robusta/Arabica,Robusta/Arabica,1200000,3000000,5040000,NULL,NULL,NULL,NULL
Angola,1990,Robusta/Arabica,Robusta/Arabica,1200000,3000000,5040000,NULL,NULL,NULL,NULL
Angola,1990,Robusta/Arabica,Robusta/Arabica,1200000,3000000,5040000,NULL,NULL,NULL,NULL
Angola,1990,Robusta/Arabica,Robusta/Arabica,1200000,3000000,5040000,NULL,NULL,NULL,NULL
Angola,1990,Robusta/Arabica,Robusta/Arabica,1200000,3000000,5040000,NULL,NULL,NULL,NULL
"Bolivia (Plurinational State of)",1990,Arabica,Arabica,1500000,7380000,9360000,NULL,NULL,NULL,NULL
"Bolivia (Plurinational State of)",1990,Arabica,Arabica,1500000,7380000,9360000,NULL,NULL,NULL,NULL
"Bolivia (Plurinational State of)",1990,Arabica,Arabica,1500000,7380000,9360000,NULL,NULL,NULL,NULL
"Bolivia (Plurinational State of)",1990,Arabica,Arabica,1500000,7380000,9360000,NULL,NULL,NULL,NULL
"Bolivia (Plurinational State of)",1990,Arabica,Arabica,1500000,7380000,9360000,NULL,NULL,NULL,NULL
"Bolivia (Plurinational State of)",1990,Arabica,Arabica,1500000,7380000,9360000,NULL,NULL,NULL,NULL
"Bolivia (Plurinational State of)",1990,Arabica,Arabica,1500000,7380000,9360000,NULL,NULL,NULL,NULL
"Bolivia (Plurinational State of)",1990,Arabica,Arabica,1500000,7380000,9360000,NULL,NULL,NULL,NULL
"Bolivia (Plurinational State of)",1990,Arabica,Arabica,1500000,7380000,9360000,NULL,NULL,NULL,NULL
"Bolivia (Plurinational State of)",1990,Arabica,Arabica,1500000,7380000,9360000,NULL,NULL,NULL,NULL
"Bolivia (Plurinational State of)",1990,Arabica,Arabica,1500000,7380000,9360000,NULL,NULL,NULL,NULL
"Bolivia (Plurinational State of)",1990,Arabica,Arabica,1500000,7380000,9360000,NULL,NULL,NULL,NULL
"Bolivia (Plurinational State of)",1990,Arabica,Arabica,1500000,7380000,9360000,NULL,NULL,NULL,NULL
"Bolivia (Plurinational State of)",1990,Arabica,Arabica,1500000,7380000,9360000,NULL,NULL,NULL,NULL
"Bolivia (Plurinational State of)",1990,Arabica,Arabica,1500000,7380000,9360000,NULL,NULL,NULL,NULL
"Bolivia (Plurinational State of)",1990,Arabica,Arabica,1500000,7380000,9360000,NULL,NULL,NULL,NULL
"Bolivia (Plurinational State of)",1990,Arabica,Arabica,1500000,7380000,9360000,NULL,NULL,NULL,NULL
"Bolivia (Plurinational State of)",1990,Arabica,Arabica,1500000,7380000,9360000,NULL,NULL,NULL,NULL
"Bolivia (Plurinational State of)",1990,Arabica,Arabica,1500000,7380000,9360000,NULL,NULL,NULL,NULL
"Bolivia (Plurinational State of)",1990,Arabica,Arabica,1500000,7380000,9360000,NULL,NULL,NULL,NULL
"Bolivia (Plurinational State of)",1990,Arabica,Arabica,1500000,7380000,9360000,NULL,NULL,NULL,NULL
"Bolivia (Plurinational State of)",1990,Arabica,Arabica,1500000,7380000,9360000,NULL,NULL,NULL,NULL
"Bolivia (Plurinational State of)",1990,Arabica,Arabica,1500000,7380000,9360000,NULL,NULL,NULL,NULL
"Bolivia (Plurinational State of)",1990,Arabica,Arabica,1500000,7380000,9360000,NULL,NULL,NULL,NULL
"Bolivia (Plurinational State of)",1990,Arabica,Arabica,1500000,7380000,9360000,NULL,NULL,NULL,NULL
"Bolivia (Plurinational State of)",1990,Arabica,Arabica,1500000,7380000,9360000,NULL,NULL,NULL,NULL
"Bolivia (Plurinational State of)",1990,Arabica,Arabica,1500000,7380000,9360000,NULL,NULL,NULL,NULL
Brazil,1990,Arabica/Robusta,Arabica/Robusta,492000000,1637160000,1016160000,NULL,NULL,NULL,NULL
Brazil,1990,Arabica/Robusta,Arabica/Robusta,492000000,1637160000,1016160000,NULL,NULL,NULL,NULL
Brazil,1990,Arabica/Robusta,Arabica/Robusta,492000000,1637160000,1016160000,NULL,NULL,NULL,NULL
Brazil,1990,Arabica/Robusta,Arabica/Robusta,492000000,1637160000,1016160000,NULL,NULL,NULL,NULL
Brazil,1990,Arabica/Robusta,Arabica/Robusta,492000000,1637160000,1016160000,NULL,NULL,NULL,NULL
Brazil,1990,Arabica/Robusta,Arabica/Robusta,492000000,1637160000,1016160000,NULL,NULL,NULL,NULL
Brazil,1990,Arabica/Robusta,Arabica/Robusta,492000000,1637160000,1016160000,NULL,NULL,NULL,NULL
Brazil,1990,Arabica/Robusta,Arabica/Robusta,492000000,1637160000,1016160000,NULL,NULL,NULL,NULL
Brazil,1990,Arabica/Robusta,Arabica/Robusta,492000000,1637160000,1016160000,NULL,NULL,NULL,NULL
Brazil,1990,Arabica/Robusta,Arabica/Robusta,492000000,1637160000,1016160000,NULL,NULL,NULL,NULL
Brazil,1990,Arabica/Robusta,Arabica/Robusta,492000000,1637160000,1016160000,NULL,NULL,NULL,NULL
Brazil,1990,Arabica/Robusta,Arabica/Robusta,492000000,1637160000,1016160000,NULL,NULL,NULL,NULL
Brazil,1990,Arabica/Robusta,Arabica/Robusta,492000000,1637160000,1016160000,NULL,NULL,NULL,NULL
Brazil,1990,Arabica/Robusta,Arabica/Robusta,492000000,1637160000,1016160000,NULL,NULL,NULL,NULL
Brazil,1990,Arabica/Robusta,Arabica/Robusta,492000000,1637160000,1016160000,NULL,NULL,NULL,NULL
Brazil,1990,Arabica/Robusta,Arabica/Robusta,492000000,1637160000,1016160000,NULL,NULL,NULL,NULL
Brazil,1990,Arabica/Robusta,Arabica/Robusta,492000000,1637160000,1016160000,NULL,NULL,NULL,NULL
Brazil,1990,Arabica/Robusta,Arabica/Robusta,492000000,1637160000,1016160000,NULL,NULL,NULL,NULL
Brazil,1990,Arabica/Robusta,Arabica/Robusta,492000000,1637160000,1016160000,NULL,NULL,NULL,NULL
Brazil,1990,Arabica/Robusta,Arabica/Robusta,492000000,1637160000,1016160000,NULL,NULL,NULL,NULL
Brazil,1990,Arabica/Robusta,Arabica/Robusta,492000000,1637160000,1016160000,NULL,NULL,NULL,NULL
Brazil,1990,Arabica/Robusta,Arabica/Robusta,492000000,1637160000,1016160000,NULL,NULL,NULL,NULL
Brazil,1990,Arabica/Robusta,Arabica/Robusta,492000000,1637160000,1016160000,NULL,NULL,NULL,NULL
Brazil,1990,Arabica/Robusta,Arabica/Robusta,492000000,1637160000,1016160000,NULL,NULL,NULL,NULL
Brazil,1990,Arabica/Robusta,Arabica/Robusta,492000000,1637160000,1016160000,NULL,NULL,NULL,NULL
Brazil,1990,Arabica/Robusta,Arabica/Robusta,492000000,1637160000,1016160000,NULL,NULL,NULL,NULL
Brazil,1990,Arabica/Robusta,Arabica/Robusta,492000000,1637160000,1016160000,NULL,NULL,NULL,NULL
Burundi,1990,Arabica/Robusta,Arabica/Robusta,120000,29220000,35100000,NULL,NULL,NULL,NULL
Burundi,1990,Arabica/Robusta,Arabica/Robusta,120000,29220000,35100000,NULL,NULL,NULL,NULL
Burundi,1990,Arabica/Robusta,Arabica/Robusta,120000,29220000,35100000,NULL,NULL,NULL,NULL
Burundi,1990,Arabica/Robusta,Arabica/Robusta,120000,29220000,35100000,NULL,NULL,NULL,NULL
Burundi,1990,Arabica/Robusta,Arabica/Robusta,120000,29220000,35100000,NULL,NULL,NULL,NULL
Burundi,1990,Arabica/Robusta,Arabica/Robusta,120000,29220000,35100000,NULL,NULL,NULL,NULL
